Employee_ID,Job_Title,Industry,Country,Education_Level,Years_Experience,AI_Replacement_Risk,Future_Demand_Score,Remote_Work_Possibility,Average_Salary_USD,Required_Skills,Automation_Level,Job_Growth_2030,Work_Hours_Per_Week,Company_Size,AI_Tool_Usage,Performance_Score,Upskilling_Needed,Job_Satisfaction,Hiring_Trend_2026
AIJ-100537,Cybersecurity Analyst,Technology,India,PhD,15,0.29,0.66,Yes,108751,"Azure, Cloud Computing, Python, Deep Learning, PyTorch, AWS",Medium,14,44,Startup,Low,2.62,Yes,3.64,Growing
AIJ-100543,Financial Analyst,Transportation,India,High School,5,0.6,0.48,No,136990,"Machine Learning, PyTorch, Project Management, Kubernetes, Python, Data Visualization",Low,8,59,Startup,High,2.08,Yes,4.23,Growing
AIJ-100550,DevOps Engineer,Media,India,Master,3,0.91,0.23,No,85228,"Project Management, Leadership, TensorFlow, Data Visualization, AWS, Machine Learning",Medium,0,33,Medium,Moderate,3.46,Yes,4.54,Stable
AIJ-100565,DevOps Engineer,Retail,India,Master,19,0.43,0.21,No,60823,"Data Visualization, Docker, AWS, Machine Learning, Excel, Communication",High,31,35,Startup,Moderate,3.57,Yes,4.21,Growing
AIJ-100592,DevOps Engineer,Finance,India,Master,14,0.3,0.52,Hybrid,34907,"TensorFlow, Data Visualization, Project Management",High,10,33,Startup,Low,2.05,No,1.88,Growing
AIJ-100611,UX Designer,Education,India,PhD,9,0.93,0.72,No,139290,"Data Visualization, Kubernetes, Leadership, Communication",Low,9,40,Enterprise,Moderate,4.49,No,2.8,Stable
AIJ-100657,Business Analyst,Transportation,India,High School,20,0.42,0.53,Hybrid,102898,"Prompt Engineering, Communication, PyTorch, Excel, Python",Medium,-8,52,Medium,Low,3.99,Yes,1.28,Declining
AIJ-100697,HR Specialist,Media,India,Master,0,0.15,0.77,Hybrid,149339,"AWS, Data Visualization, Python",High,20,32,Enterprise,High,2.46,Yes,2.59,Stable
AIJ-100703,Digital Marketer,Energy,India,Bachelor,17,0.18,0.26,Hybrid,110361,"Python, Docker, Cloud Computing, Deep Learning",Low,42,36,Startup,Low,2.09,Yes,1.83,Growing
AIJ-100707,Machine Learning Engineer,Transportation,India,PhD,25,0.89,0.55,Hybrid,161615,"Python, Cybersecurity, Kubernetes",High,36,31,Medium,High,2.35,No,1.7,Stable
AIJ-100713,Financial Analyst,Education,India,PhD,1,0.2,0.7,No,138398,"Machine Learning, AWS, Kubernetes, Project Management",Low,45,40,Medium,Low,2.58,No,2.56,Growing
AIJ-100714,Teacher,Media,India,PhD,24,0.83,0.7,Yes,93265,"Cybersecurity, AWS, PyTorch, Leadership",Medium,28,30,Medium,Low,3.69,Yes,4.09,Declining
AIJ-100745,Data Engineer,Government,India,Bachelor,15,0.89,0.73,Hybrid,206066,"Deep Learning, AWS, PyTorch, Prompt Engineering, SQL",Low,13,35,Medium,Low,3.04,Yes,1.13,Stable
AIJ-100765,IoT Specialist,Energy,India,Bachelor,15,0.25,0.36,Yes,102250,"Docker, Machine Learning, Azure, Data Visualization, Cybersecurity, Leadership",Medium,-2,30,Startup,High,3.46,Yes,4.95,Growing
AIJ-100774,UX Designer,Manufacturing,India,Bachelor,23,0.2,0.86,Yes,146673,"Azure, Data Visualization, Prompt Engineering, Deep Learning, AWS",Low,15,39,Medium,High,3.39,Yes,4.5,Declining
AIJ-100779,Software Developer,Finance,India,High School,10,0.49,0.92,No,50081,"Machine Learning, Cybersecurity, AWS, Docker",Medium,-8,46,Medium,Moderate,2.08,Yes,1.01,Stable
AIJ-100818,Healthcare Analyst,Manufacturing,India,Master,5,0.2,0.91,Hybrid,76113,"Leadership, Azure, SQL, Python, Kubernetes, AWS",Medium,19,48,Medium,Low,2.42,No,1.74,Declining
AIJ-100844,Business Analyst,Technology,India,High School,23,0.38,0.44,Yes,64166,"PyTorch, Excel, Leadership, Communication",Low,-1,45,Startup,Moderate,2.37,Yes,2.92,Growing
AIJ-100859,IoT Specialist,Technology,India,High School,18,0.4,0.95,No,205708,"Kubernetes, Docker, Cybersecurity, Deep Learning, Excel, TensorFlow",Low,35,33,Medium,Low,4.37,No,1.45,Stable
AIJ-100862,HR Specialist,Education,India,PhD,17,0.54,0.3,Hybrid,161735,"Excel, Deep Learning, PyTorch, Cybersecurity",High,4,49,Startup,Moderate,2.41,No,2.58,Declining
AIJ-100887,Prompt Engineer,Energy,India,High School,2,0.44,0.97,Yes,205228,"Azure, Machine Learning, Leadership, Python, Excel, Kubernetes",High,15,59,Medium,Moderate,4.6,Yes,3.82,Declining
AIJ-100892,Software Developer,Energy,India,Bachelor,5,0.13,0.76,Yes,135594,"Machine Learning, Cloud Computing, Cybersecurity, AWS",High,20,40,Enterprise,High,2.22,Yes,4.24,Stable
AIJ-100951,Digital Marketer,Retail,India,High School,25,0.84,0.94,No,106587,"PyTorch, Deep Learning, Project Management, Data Visualization, TensorFlow, Cybersecurity",High,-3,42,Enterprise,High,3.77,Yes,4.34,Stable
AIJ-100960,Digital Marketer,Education,India,PhD,14,0.23,0.21,No,35758,"Leadership, TensorFlow, Cloud Computing, AWS",Low,36,52,Startup,High,4.7,No,2.46,Declining
AIJ-100973,Cybersecurity Analyst,Manufacturing,India,High School,22,0.82,0.27,No,75323,"Data Visualization, Machine Learning, Docker, AWS",High,-1,57,Medium,High,3.25,No,4.97,Stable
AIJ-100976,Business Analyst,Healthcare,India,PhD,16,0.31,0.68,Hybrid,169433,"Python, Project Management, Machine Learning, Kubernetes",High,45,33,Startup,Moderate,4.59,No,1.61,Stable
AIJ-100982,Product Manager,Healthcare,India,Bachelor,24,0.06,0.91,Yes,171092,"PyTorch, Excel, Data Visualization",High,-2,44,Enterprise,Moderate,4.87,Yes,2.84,Growing
AIJ-100991,AI Engineer,Education,India,Master,9,0.43,0.9,No,62211,"SQL, Python, Cloud Computing, Leadership, TensorFlow, AWS",Low,28,49,Startup,Moderate,3.45,No,4.82,Growing
AIJ-101001,Teacher,Government,India,PhD,20,0.24,0.51,No,184051,"TensorFlow, Machine Learning, Project Management, Cloud Computing",Medium,11,31,Enterprise,High,3.73,Yes,3.76,Declining
AIJ-101010,Cybersecurity Analyst,Manufacturing,India,PhD,21,0.54,0.97,Yes,142774,"Deep Learning, SQL, Python, Leadership, Data Visualization",Low,31,40,Medium,Moderate,2.72,No,3.27,Stable
AIJ-101029,Cybersecurity Analyst,Energy,India,High School,1,0.31,0.87,No,64243,"Kubernetes, Machine Learning, Cloud Computing, Project Management, Python, Deep Learning",High,37,53,Enterprise,Low,3.18,Yes,4.33,Stable
AIJ-101059,Healthcare Analyst,Manufacturing,India,Bachelor,12,0.74,0.59,Hybrid,55811,"Cloud Computing, Cybersecurity, Deep Learning, Project Management, Data Visualization",Low,38,51,Enterprise,Moderate,2.48,No,1.08,Stable
AIJ-101067,Financial Analyst,Healthcare,India,Master,17,0.75,0.32,No,172395,"Cloud Computing, AWS, Kubernetes, Prompt Engineering, Machine Learning, Python",High,25,37,Startup,Moderate,2.53,Yes,4.34,Growing
AIJ-101069,Data Scientist,Technology,India,Bachelor,6,0.85,0.23,Yes,119766,"Python, Prompt Engineering, Machine Learning, Docker, Cloud Computing, Deep Learning",Medium,43,44,Startup,Moderate,4.75,No,3.31,Declining
AIJ-101072,HR Specialist,Transportation,India,Master,0,0.63,0.48,No,83846,"Leadership, Data Visualization, Azure, PyTorch, Machine Learning, Communication",High,-10,46,Enterprise,Moderate,2.9,Yes,2.67,Stable
AIJ-101077,IoT Specialist,Transportation,India,Master,8,0.92,0.52,Yes,49727,"Cybersecurity, SQL, Cloud Computing, Machine Learning, AWS",Low,-10,42,Startup,High,4.32,No,3.56,Growing
AIJ-101080,Healthcare Analyst,Healthcare,India,Bachelor,23,0.26,0.46,Yes,32603,"Cloud Computing, Machine Learning, Excel, AWS",Low,27,50,Startup,Moderate,2.71,Yes,3.07,Stable
AIJ-101087,Software Developer,Finance,India,PhD,2,0.74,0.63,Yes,76566,"Deep Learning, Kubernetes, Excel",High,4,42,Startup,High,2.14,Yes,4.73,Declining
AIJ-101092,Machine Learning Engineer,Education,India,Master,13,0.74,0.26,No,160078,"Kubernetes, Deep Learning, Azure, Cybersecurity, AWS",Low,22,56,Medium,High,2.77,Yes,1.66,Stable
AIJ-101116,Cybersecurity Analyst,Education,India,High School,0,0.83,0.78,Yes,177855,"Project Management, Deep Learning, SQL",High,41,48,Medium,Moderate,2.46,No,1.53,Growing
AIJ-101119,Robotics Engineer,Technology,India,Bachelor,25,0.93,0.32,No,200822,"Docker, PyTorch, Leadership",Medium,6,33,Enterprise,Low,2.95,Yes,3.63,Stable
AIJ-101121,Robotics Engineer,Finance,India,Master,8,0.22,0.56,No,79775,"Prompt Engineering, Docker, AWS",Medium,25,49,Startup,Moderate,3.48,Yes,2.78,Growing
AIJ-101148,DevOps Engineer,Healthcare,India,PhD,8,0.78,0.52,No,98779,"Prompt Engineering, Docker, Excel, Leadership, PyTorch, TensorFlow",High,21,50,Enterprise,Low,2.31,Yes,4.92,Growing
AIJ-101154,Product Manager,Energy,India,Master,15,0.37,0.45,Hybrid,147864,"Python, Cloud Computing, PyTorch, Data Visualization",High,15,40,Medium,Moderate,4.67,No,1.4,Declining
AIJ-101162,Prompt Engineer,Media,India,High School,18,0.6,0.82,No,166314,"Prompt Engineering, Python, Cybersecurity, PyTorch",Low,5,50,Startup,Low,4.91,No,1.12,Growing
AIJ-101172,UX Designer,Retail,India,High School,9,0.66,0.78,No,165417,"Cybersecurity, Machine Learning, AWS, Project Management, Azure",High,24,36,Startup,Low,2.93,No,4.55,Declining
AIJ-101174,DevOps Engineer,Media,India,Master,13,0.77,0.7,No,123627,"Cybersecurity, Deep Learning, Project Management",High,41,39,Startup,Low,4.46,No,3.9,Stable
AIJ-101189,Cybersecurity Analyst,Manufacturing,India,Bachelor,22,0.64,0.39,Hybrid,219133,"Kubernetes, Python, Cybersecurity, PyTorch, Prompt Engineering, Project Management",Low,-10,42,Startup,Low,2.55,Yes,1.74,Growing
AIJ-101200,Software Developer,Healthcare,India,PhD,25,0.71,0.65,Yes,60887,"Kubernetes, Cybersecurity, TensorFlow",High,39,39,Medium,Moderate,2.55,No,4.35,Growing
AIJ-101229,Digital Marketer,Technology,India,Master,23,0.57,0.69,Yes,67388,"Excel, Project Management, Python, Kubernetes, Deep Learning",Low,37,37,Startup,Moderate,3.95,No,2.86,Growing
AIJ-101237,UX Designer,Government,India,Master,3,0.31,0.54,Yes,73171,"AWS, PyTorch, Communication, Kubernetes, Deep Learning, Azure",Medium,16,50,Startup,Moderate,2.02,No,3.31,Growing
AIJ-101250,Healthcare Analyst,Media,India,PhD,13,0.48,0.64,Hybrid,47441,"Cybersecurity, Cloud Computing, Azure, AWS, TensorFlow, Excel",Medium,28,57,Startup,Low,4.44,Yes,1.03,Growing
AIJ-101275,Product Manager,Education,India,Bachelor,21,0.23,0.79,No,100167,"Kubernetes, PyTorch, Excel, Azure, Docker, Communication",High,25,60,Medium,High,2.48,No,4.33,Declining
AIJ-101283,Digital Marketer,Transportation,India,PhD,3,0.81,0.53,Yes,82375,"SQL, PyTorch, Cybersecurity, Deep Learning, Machine Learning, Communication",Low,32,40,Medium,Moderate,4.89,Yes,4.04,Stable
AIJ-101302,Cybersecurity Analyst,Technology,India,High School,12,0.39,0.67,Hybrid,103442,"Data Visualization, AWS, SQL",High,-1,48,Startup,Low,3.63,Yes,1.51,Declining
AIJ-101314,Data Scientist,Finance,India,Bachelor,25,0.84,0.41,No,205479,"Communication, Data Visualization, Project Management, TensorFlow, Kubernetes",Low,34,49,Medium,Moderate,3.23,Yes,1.47,Growing
AIJ-101324,Machine Learning Engineer,Education,India,Bachelor,11,0.28,0.9,Hybrid,209068,"TensorFlow, AWS, Project Management",High,17,48,Enterprise,Moderate,2.06,No,2.3,Declining
AIJ-101339,Blockchain Developer,Retail,India,Bachelor,0,0.72,0.47,Yes,98458,"Deep Learning, Prompt Engineering, Machine Learning, Cybersecurity, Kubernetes, Excel",Medium,28,38,Medium,Low,2.05,Yes,4.67,Declining
AIJ-101344,Cybersecurity Analyst,Healthcare,India,PhD,2,0.19,0.91,Yes,107382,"Data Visualization, Machine Learning, Leadership",Low,-5,40,Enterprise,Moderate,3.09,Yes,4.81,Stable
AIJ-101362,Product Manager,Technology,India,High School,25,0.64,0.24,Yes,51708,"Docker, Communication, PyTorch",Low,9,47,Startup,Low,4.52,No,4.48,Stable
AIJ-101363,Healthcare Analyst,Retail,India,PhD,0,0.94,0.58,No,120680,"Excel, Docker, TensorFlow, Prompt Engineering",Low,27,34,Medium,Low,3.85,No,2.94,Stable
AIJ-101370,Robotics Engineer,Government,India,Bachelor,21,0.63,0.57,Yes,89956,"Cloud Computing, Kubernetes, Leadership",High,6,52,Enterprise,Moderate,2.4,No,4.77,Stable
AIJ-101372,IoT Specialist,Government,India,PhD,11,0.66,0.66,Hybrid,120180,"Excel, Kubernetes, Python, PyTorch, TensorFlow",Low,31,43,Medium,Low,2.47,No,3.51,Declining
AIJ-101383,Digital Marketer,Manufacturing,India,High School,3,0.28,0.61,Yes,81990,"TensorFlow, Cybersecurity, Data Visualization, Python, SQL",Low,18,35,Enterprise,Low,4.73,Yes,1.78,Growing
AIJ-101412,Robotics Engineer,Education,India,Bachelor,20,0.48,0.9,No,97602,"Azure, Deep Learning, PyTorch, Excel, TensorFlow, Docker",Medium,29,58,Medium,High,3.49,No,2.45,Declining
AIJ-101426,Healthcare Analyst,Technology,India,Bachelor,1,0.05,0.54,No,49177,"Deep Learning, Leadership, Cybersecurity, Python, PyTorch, TensorFlow",High,25,51,Medium,High,4.43,No,3.38,Stable
AIJ-101440,Robotics Engineer,Retail,India,Bachelor,0,0.48,0.68,Yes,174613,"PyTorch, Machine Learning, Leadership, Docker",Low,41,38,Enterprise,High,2.45,No,1.77,Declining
AIJ-101448,UX Designer,Transportation,India,PhD,14,0.4,0.43,Hybrid,46104,"Cloud Computing, Data Visualization, Leadership, Kubernetes, Prompt Engineering, Python",Medium,25,42,Enterprise,High,3.75,No,3.04,Growing
AIJ-101450,AI Engineer,Technology,India,High School,5,0.15,0.76,Yes,140919,"Docker, Cloud Computing, Kubernetes, Azure, SQL, Deep Learning",Medium,8,39,Startup,Moderate,3.0,No,2.79,Declining
AIJ-101463,AI Engineer,Energy,India,High School,19,0.33,0.97,Hybrid,87877,"Kubernetes, PyTorch, Cloud Computing, Docker, SQL, Azure",High,-9,40,Enterprise,Moderate,3.44,No,2.27,Stable
AIJ-101498,Data Engineer,Technology,India,Master,13,0.93,0.33,Hybrid,181236,"Data Visualization, Docker, Python, SQL",Medium,13,46,Enterprise,Moderate,2.41,No,2.96,Declining
AIJ-101510,Business Analyst,Finance,India,Master,24,0.56,0.66,Yes,144486,"Azure, Communication, Docker, Data Visualization, Python",Medium,-1,44,Enterprise,High,2.33,Yes,1.36,Declining
AIJ-101514,Data Engineer,Technology,India,Master,25,0.12,0.34,Yes,118067,"AWS, Data Visualization, Machine Learning, Cybersecurity, Prompt Engineering",High,43,58,Startup,Moderate,3.34,No,3.48,Growing
AIJ-101522,Product Manager,Energy,India,Bachelor,25,0.24,0.54,No,130043,"Machine Learning, Data Visualization, Prompt Engineering, Excel, Kubernetes, Python",High,20,47,Medium,Low,3.28,No,1.74,Declining
AIJ-101535,AI Engineer,Technology,India,PhD,19,0.48,0.45,No,178945,"Excel, Data Visualization, Kubernetes",Low,-2,55,Enterprise,Low,4.71,No,2.21,Declining
AIJ-101540,Data Scientist,Education,India,Master,18,0.15,0.77,No,71651,"Project Management, SQL, Leadership, PyTorch, Azure, Python",Medium,-9,60,Medium,Low,2.77,No,4.08,Stable
AIJ-101546,Digital Marketer,Energy,India,PhD,11,0.53,0.23,Hybrid,212152,"TensorFlow, Prompt Engineering, Cybersecurity, Cloud Computing",Medium,16,43,Medium,High,3.29,No,4.77,Stable
AIJ-101548,Data Engineer,Healthcare,India,Bachelor,22,0.77,0.49,No,76730,"Cloud Computing, Communication, Docker",Low,-6,43,Enterprise,Moderate,2.35,No,2.55,Declining
AIJ-101550,UX Designer,Manufacturing,India,Master,18,0.78,0.36,No,207381,"AWS, Azure, Machine Learning, Cybersecurity",High,16,55,Medium,Low,2.03,Yes,4.4,Declining
AIJ-101556,Software Developer,Government,India,Master,14,0.47,0.96,No,57116,"Machine Learning, SQL, Docker, AWS, Deep Learning, Python",Low,37,53,Startup,Low,4.57,No,3.24,Declining
AIJ-101559,Prompt Engineer,Retail,India,PhD,22,0.94,0.29,Hybrid,108825,"AWS, Cloud Computing, Docker",Low,-4,48,Enterprise,Low,2.18,No,2.45,Stable
AIJ-101570,Blockchain Developer,Technology,India,Bachelor,6,0.28,0.91,Yes,83585,"SQL, Python, Project Management, Machine Learning, Leadership, Cloud Computing",Low,33,33,Enterprise,High,3.61,Yes,3.13,Stable
AIJ-101583,HR Specialist,Energy,India,PhD,25,0.09,0.88,Hybrid,199063,"Leadership, SQL, Cybersecurity, Cloud Computing",High,0,38,Startup,Moderate,4.32,Yes,2.43,Growing
AIJ-101586,AI Engineer,Technology,India,High School,10,0.88,0.26,Hybrid,177594,"Leadership, Excel, PyTorch, Docker, Communication, Azure",High,4,36,Startup,Moderate,2.39,No,3.86,Growing
AIJ-101588,Cybersecurity Analyst,Government,India,High School,6,0.55,0.5,No,201461,"Kubernetes, Machine Learning, Excel",High,40,53,Medium,Low,4.63,No,1.48,Declining
AIJ-101590,Cybersecurity Analyst,Education,India,Master,5,0.92,0.37,Yes,66830,"PyTorch, Machine Learning, Cybersecurity",Low,26,57,Medium,Low,4.0,Yes,2.91,Growing
AIJ-101609,Prompt Engineer,Healthcare,India,Master,11,0.05,0.85,Yes,33991,"Communication, Kubernetes, Deep Learning",High,40,57,Enterprise,Moderate,4.79,No,3.83,Stable
AIJ-101618,Financial Analyst,Government,India,Bachelor,2,0.57,0.93,Hybrid,174830,"Machine Learning, PyTorch, Leadership",Low,21,48,Startup,Low,2.63,No,1.77,Growing
