Employee_ID,Job_Title,Industry,Country,Education_Level,Years_Experience,AI_Replacement_Risk,Future_Demand_Score,Remote_Work_Possibility,Average_Salary_USD,Required_Skills,Automation_Level,Job_Growth_2030,Work_Hours_Per_Week,Company_Size,AI_Tool_Usage,Performance_Score,Upskilling_Needed,Job_Satisfaction,Hiring_Trend_2026
AIJ-100281,DevOps Engineer,Finance,India,Bachelor,4,0.55,0.87,Yes,124447,"PyTorch, Prompt Engineering, Data Visualization, Deep Learning, Machine Learning, Cloud Computing",Low,31,30,Startup,High,4.65,No,4.9,Declining
AIJ-100284,DevOps Engineer,Manufacturing,India,Master,5,0.51,0.57,Yes,116904,"SQL, Leadership, Python, Deep Learning, Azure",High,28,53,Medium,High,4.36,No,1.25,Stable
AIJ-100288,UX Designer,Manufacturing,India,Master,25,0.37,0.87,Yes,190035,"Leadership, Docker, SQL, AWS, Communication, Kubernetes",Medium,31,48,Medium,Moderate,4.32,Yes,3.94,Growing
AIJ-100295,Cybersecurity Analyst,Media,India,PhD,17,0.95,0.39,No,131913,"Prompt Engineering, Cybersecurity, SQL, Cloud Computing, Python, Excel",Low,-8,40,Startup,Moderate,4.36,Yes,2.62,Declining
AIJ-100315,Product Manager,Education,India,Bachelor,0,0.1,0.71,Yes,182943,"Azure, Excel, Machine Learning, Data Visualization",High,44,44,Enterprise,High,4.87,No,1.78,Stable
AIJ-100316,Financial Analyst,Technology,India,Master,11,0.69,0.54,No,131217,"Excel, TensorFlow, Cybersecurity",Medium,45,47,Startup,Low,4.18,No,3.97,Stable
AIJ-100350,Financial Analyst,Energy,India,Master,19,0.93,0.59,No,103662,"Communication, Cloud Computing, Leadership, Python",High,10,43,Startup,Moderate,4.21,No,4.05,Declining
AIJ-100375,Robotics Engineer,Manufacturing,India,Master,15,0.09,0.32,Yes,127377,"Cloud Computing, Excel, Project Management",Low,-1,55,Enterprise,Moderate,2.15,No,4.56,Declining
AIJ-100376,IoT Specialist,Government,India,PhD,10,0.36,0.89,No,139464,"AWS, Python, Cloud Computing, Communication",Medium,43,53,Enterprise,Low,4.29,No,4.05,Growing
AIJ-100381,Digital Marketer,Technology,India,High School,7,0.11,0.22,Hybrid,196079,"Leadership, Azure, PyTorch",High,40,34,Medium,High,3.22,Yes,4.39,Growing
AIJ-100420,Blockchain Developer,Education,India,PhD,2,0.6,0.44,No,181105,"Prompt Engineering, Deep Learning, PyTorch, Machine Learning",Medium,14,35,Medium,Moderate,3.27,No,4.04,Stable
AIJ-100427,Machine Learning Engineer,Healthcare,India,High School,12,0.61,0.69,Yes,196837,"Prompt Engineering, Communication, PyTorch, Deep Learning",Medium,-6,40,Startup,High,2.7,No,3.69,Declining
AIJ-100442,Data Scientist,Education,India,High School,16,0.38,0.63,No,140900,"Cloud Computing, Docker, Project Management",High,24,44,Startup,High,3.47,No,3.09,Stable
AIJ-100462,Digital Marketer,Retail,India,High School,5,0.69,0.61,Yes,109537,"Python, Docker, Azure, Communication",Low,24,37,Medium,Low,3.92,No,4.71,Stable
AIJ-100464,Cloud Architect,Energy,India,Bachelor,14,0.93,0.81,Yes,182898,"Data Visualization, Communication, Python, Docker, Leadership",Medium,7,36,Enterprise,High,4.42,No,1.62,Declining
AIJ-100480,Machine Learning Engineer,Healthcare,India,Master,11,0.46,0.33,Yes,107491,"Project Management, Machine Learning, AWS, SQL",Low,1,52,Medium,Moderate,4.96,No,4.05,Stable
AIJ-100484,DevOps Engineer,Retail,India,Bachelor,2,0.24,0.22,Yes,209220,"SQL, Excel, PyTorch, Deep Learning, Cloud Computing, Python",Low,7,42,Startup,Moderate,4.62,No,4.49,Growing
AIJ-100495,Machine Learning Engineer,Finance,India,High School,5,0.85,0.7,Hybrid,148195,"Prompt Engineering, PyTorch, TensorFlow",High,30,49,Startup,Low,4.93,No,2.94,Growing
AIJ-100497,Prompt Engineer,Education,India,Bachelor,6,0.72,0.59,Hybrid,164389,"Machine Learning, Excel, Project Management, Deep Learning",High,7,60,Medium,Low,3.75,No,1.66,Declining
AIJ-100537,Cybersecurity Analyst,Technology,India,PhD,15,0.29,0.66,Yes,108751,"Azure, Cloud Computing, Python, Deep Learning, PyTorch, AWS",Medium,14,44,Startup,Low,2.62,Yes,3.64,Growing
AIJ-100543,Financial Analyst,Transportation,India,High School,5,0.6,0.48,No,136990,"Machine Learning, PyTorch, Project Management, Kubernetes, Python, Data Visualization",Low,8,59,Startup,High,2.08,Yes,4.23,Growing
AIJ-100611,UX Designer,Education,India,PhD,9,0.93,0.72,No,139290,"Data Visualization, Kubernetes, Leadership, Communication",Low,9,40,Enterprise,Moderate,4.49,No,2.8,Stable
AIJ-100657,Business Analyst,Transportation,India,High School,20,0.42,0.53,Hybrid,102898,"Prompt Engineering, Communication, PyTorch, Excel, Python",Medium,-8,52,Medium,Low,3.99,Yes,1.28,Declining
AIJ-100697,HR Specialist,Media,India,Master,0,0.15,0.77,Hybrid,149339,"AWS, Data Visualization, Python",High,20,32,Enterprise,High,2.46,Yes,2.59,Stable
AIJ-100703,Digital Marketer,Energy,India,Bachelor,17,0.18,0.26,Hybrid,110361,"Python, Docker, Cloud Computing, Deep Learning",Low,42,36,Startup,Low,2.09,Yes,1.83,Growing
AIJ-100707,Machine Learning Engineer,Transportation,India,PhD,25,0.89,0.55,Hybrid,161615,"Python, Cybersecurity, Kubernetes",High,36,31,Medium,High,2.35,No,1.7,Stable
AIJ-100713,Financial Analyst,Education,India,PhD,1,0.2,0.7,No,138398,"Machine Learning, AWS, Kubernetes, Project Management",Low,45,40,Medium,Low,2.58,No,2.56,Growing
AIJ-100745,Data Engineer,Government,India,Bachelor,15,0.89,0.73,Hybrid,206066,"Deep Learning, AWS, PyTorch, Prompt Engineering, SQL",Low,13,35,Medium,Low,3.04,Yes,1.13,Stable
AIJ-100765,IoT Specialist,Energy,India,Bachelor,15,0.25,0.36,Yes,102250,"Docker, Machine Learning, Azure, Data Visualization, Cybersecurity, Leadership",Medium,-2,30,Startup,High,3.46,Yes,4.95,Growing
AIJ-100774,UX Designer,Manufacturing,India,Bachelor,23,0.2,0.86,Yes,146673,"Azure, Data Visualization, Prompt Engineering, Deep Learning, AWS",Low,15,39,Medium,High,3.39,Yes,4.5,Declining
AIJ-100859,IoT Specialist,Technology,India,High School,18,0.4,0.95,No,205708,"Kubernetes, Docker, Cybersecurity, Deep Learning, Excel, TensorFlow",Low,35,33,Medium,Low,4.37,No,1.45,Stable
AIJ-100862,HR Specialist,Education,India,PhD,17,0.54,0.3,Hybrid,161735,"Excel, Deep Learning, PyTorch, Cybersecurity",High,4,49,Startup,Moderate,2.41,No,2.58,Declining
AIJ-100887,Prompt Engineer,Energy,India,High School,2,0.44,0.97,Yes,205228,"Azure, Machine Learning, Leadership, Python, Excel, Kubernetes",High,15,59,Medium,Moderate,4.6,Yes,3.82,Declining
AIJ-100892,Software Developer,Energy,India,Bachelor,5,0.13,0.76,Yes,135594,"Machine Learning, Cloud Computing, Cybersecurity, AWS",High,20,40,Enterprise,High,2.22,Yes,4.24,Stable
AIJ-100951,Digital Marketer,Retail,India,High School,25,0.84,0.94,No,106587,"PyTorch, Deep Learning, Project Management, Data Visualization, TensorFlow, Cybersecurity",High,-3,42,Enterprise,High,3.77,Yes,4.34,Stable
AIJ-100976,Business Analyst,Healthcare,India,PhD,16,0.31,0.68,Hybrid,169433,"Python, Project Management, Machine Learning, Kubernetes",High,45,33,Startup,Moderate,4.59,No,1.61,Stable
AIJ-100982,Product Manager,Healthcare,India,Bachelor,24,0.06,0.91,Yes,171092,"PyTorch, Excel, Data Visualization",High,-2,44,Enterprise,Moderate,4.87,Yes,2.84,Growing
AIJ-101001,Teacher,Government,India,PhD,20,0.24,0.51,No,184051,"TensorFlow, Machine Learning, Project Management, Cloud Computing",Medium,11,31,Enterprise,High,3.73,Yes,3.76,Declining
AIJ-101010,Cybersecurity Analyst,Manufacturing,India,PhD,21,0.54,0.97,Yes,142774,"Deep Learning, SQL, Python, Leadership, Data Visualization",Low,31,40,Medium,Moderate,2.72,No,3.27,Stable
AIJ-101067,Financial Analyst,Healthcare,India,Master,17,0.75,0.32,No,172395,"Cloud Computing, AWS, Kubernetes, Prompt Engineering, Machine Learning, Python",High,25,37,Startup,Moderate,2.53,Yes,4.34,Growing
AIJ-101069,Data Scientist,Technology,India,Bachelor,6,0.85,0.23,Yes,119766,"Python, Prompt Engineering, Machine Learning, Docker, Cloud Computing, Deep Learning",Medium,43,44,Startup,Moderate,4.75,No,3.31,Declining
AIJ-101092,Machine Learning Engineer,Education,India,Master,13,0.74,0.26,No,160078,"Kubernetes, Deep Learning, Azure, Cybersecurity, AWS",Low,22,56,Medium,High,2.77,Yes,1.66,Stable
AIJ-101116,Cybersecurity Analyst,Education,India,High School,0,0.83,0.78,Yes,177855,"Project Management, Deep Learning, SQL",High,41,48,Medium,Moderate,2.46,No,1.53,Growing
AIJ-101119,Robotics Engineer,Technology,India,Bachelor,25,0.93,0.32,No,200822,"Docker, PyTorch, Leadership",Medium,6,33,Enterprise,Low,2.95,Yes,3.63,Stable
AIJ-101154,Product Manager,Energy,India,Master,15,0.37,0.45,Hybrid,147864,"Python, Cloud Computing, PyTorch, Data Visualization",High,15,40,Medium,Moderate,4.67,No,1.4,Declining
AIJ-101162,Prompt Engineer,Media,India,High School,18,0.6,0.82,No,166314,"Prompt Engineering, Python, Cybersecurity, PyTorch",Low,5,50,Startup,Low,4.91,No,1.12,Growing
AIJ-101172,UX Designer,Retail,India,High School,9,0.66,0.78,No,165417,"Cybersecurity, Machine Learning, AWS, Project Management, Azure",High,24,36,Startup,Low,2.93,No,4.55,Declining
AIJ-101174,DevOps Engineer,Media,India,Master,13,0.77,0.7,No,123627,"Cybersecurity, Deep Learning, Project Management",High,41,39,Startup,Low,4.46,No,3.9,Stable
AIJ-101189,Cybersecurity Analyst,Manufacturing,India,Bachelor,22,0.64,0.39,Hybrid,219133,"Kubernetes, Python, Cybersecurity, PyTorch, Prompt Engineering, Project Management",Low,-10,42,Startup,Low,2.55,Yes,1.74,Growing
AIJ-101275,Product Manager,Education,India,Bachelor,21,0.23,0.79,No,100167,"Kubernetes, PyTorch, Excel, Azure, Docker, Communication",High,25,60,Medium,High,2.48,No,4.33,Declining
AIJ-101302,Cybersecurity Analyst,Technology,India,High School,12,0.39,0.67,Hybrid,103442,"Data Visualization, AWS, SQL",High,-1,48,Startup,Low,3.63,Yes,1.51,Declining
AIJ-101314,Data Scientist,Finance,India,Bachelor,25,0.84,0.41,No,205479,"Communication, Data Visualization, Project Management, TensorFlow, Kubernetes",Low,34,49,Medium,Moderate,3.23,Yes,1.47,Growing
AIJ-101324,Machine Learning Engineer,Education,India,Bachelor,11,0.28,0.9,Hybrid,209068,"TensorFlow, AWS, Project Management",High,17,48,Enterprise,Moderate,2.06,No,2.3,Declining
AIJ-101344,Cybersecurity Analyst,Healthcare,India,PhD,2,0.19,0.91,Yes,107382,"Data Visualization, Machine Learning, Leadership",Low,-5,40,Enterprise,Moderate,3.09,Yes,4.81,Stable
AIJ-101363,Healthcare Analyst,Retail,India,PhD,0,0.94,0.58,No,120680,"Excel, Docker, TensorFlow, Prompt Engineering",Low,27,34,Medium,Low,3.85,No,2.94,Stable
AIJ-101372,IoT Specialist,Government,India,PhD,11,0.66,0.66,Hybrid,120180,"Excel, Kubernetes, Python, PyTorch, TensorFlow",Low,31,43,Medium,Low,2.47,No,3.51,Declining
AIJ-101440,Robotics Engineer,Retail,India,Bachelor,0,0.48,0.68,Yes,174613,"PyTorch, Machine Learning, Leadership, Docker",Low,41,38,Enterprise,High,2.45,No,1.77,Declining
AIJ-101450,AI Engineer,Technology,India,High School,5,0.15,0.76,Yes,140919,"Docker, Cloud Computing, Kubernetes, Azure, SQL, Deep Learning",Medium,8,39,Startup,Moderate,3.0,No,2.79,Declining
AIJ-101498,Data Engineer,Technology,India,Master,13,0.93,0.33,Hybrid,181236,"Data Visualization, Docker, Python, SQL",Medium,13,46,Enterprise,Moderate,2.41,No,2.96,Declining
AIJ-101510,Business Analyst,Finance,India,Master,24,0.56,0.66,Yes,144486,"Azure, Communication, Docker, Data Visualization, Python",Medium,-1,44,Enterprise,High,2.33,Yes,1.36,Declining
AIJ-101514,Data Engineer,Technology,India,Master,25,0.12,0.34,Yes,118067,"AWS, Data Visualization, Machine Learning, Cybersecurity, Prompt Engineering",High,43,58,Startup,Moderate,3.34,No,3.48,Growing
AIJ-101522,Product Manager,Energy,India,Bachelor,25,0.24,0.54,No,130043,"Machine Learning, Data Visualization, Prompt Engineering, Excel, Kubernetes, Python",High,20,47,Medium,Low,3.28,No,1.74,Declining
AIJ-101535,AI Engineer,Technology,India,PhD,19,0.48,0.45,No,178945,"Excel, Data Visualization, Kubernetes",Low,-2,55,Enterprise,Low,4.71,No,2.21,Declining
AIJ-101546,Digital Marketer,Energy,India,PhD,11,0.53,0.23,Hybrid,212152,"TensorFlow, Prompt Engineering, Cybersecurity, Cloud Computing",Medium,16,43,Medium,High,3.29,No,4.77,Stable
AIJ-101550,UX Designer,Manufacturing,India,Master,18,0.78,0.36,No,207381,"AWS, Azure, Machine Learning, Cybersecurity",High,16,55,Medium,Low,2.03,Yes,4.4,Declining
AIJ-101559,Prompt Engineer,Retail,India,PhD,22,0.94,0.29,Hybrid,108825,"AWS, Cloud Computing, Docker",Low,-4,48,Enterprise,Low,2.18,No,2.45,Stable
AIJ-101583,HR Specialist,Energy,India,PhD,25,0.09,0.88,Hybrid,199063,"Leadership, SQL, Cybersecurity, Cloud Computing",High,0,38,Startup,Moderate,4.32,Yes,2.43,Growing
AIJ-101586,AI Engineer,Technology,India,High School,10,0.88,0.26,Hybrid,177594,"Leadership, Excel, PyTorch, Docker, Communication, Azure",High,4,36,Startup,Moderate,2.39,No,3.86,Growing
AIJ-101588,Cybersecurity Analyst,Government,India,High School,6,0.55,0.5,No,201461,"Kubernetes, Machine Learning, Excel",High,40,53,Medium,Low,4.63,No,1.48,Declining
AIJ-101618,Financial Analyst,Government,India,Bachelor,2,0.57,0.93,Hybrid,174830,"Machine Learning, PyTorch, Leadership",Low,21,48,Startup,Low,2.63,No,1.77,Growing
AIJ-101623,Machine Learning Engineer,Energy,India,Bachelor,21,0.77,0.8,Yes,150080,"TensorFlow, Cloud Computing, SQL",Low,13,46,Medium,High,3.7,Yes,4.58,Stable
AIJ-101630,Business Analyst,Finance,India,High School,10,0.13,0.2,Yes,131272,"Deep Learning, Azure, Prompt Engineering, Python, TensorFlow, Cybersecurity",Low,41,53,Startup,Moderate,3.08,Yes,4.48,Stable
AIJ-101646,HR Specialist,Finance,India,Master,13,0.81,0.78,Hybrid,163803,"Docker, Project Management, Cloud Computing, Azure, Excel",Medium,-8,37,Medium,Low,3.33,No,3.38,Stable
AIJ-101666,Financial Analyst,Transportation,India,PhD,11,0.16,0.26,Hybrid,100063,"SQL, Excel, Cybersecurity",High,-9,40,Startup,Moderate,2.06,Yes,2.41,Growing
AIJ-101673,Cybersecurity Analyst,Manufacturing,India,High School,24,0.32,0.88,No,201034,"Cloud Computing, Python, Cybersecurity, Excel, Docker",Low,-7,49,Startup,Low,2.85,No,3.89,Declining
AIJ-101677,Teacher,Retail,India,High School,12,0.31,0.59,No,166087,"AWS, Prompt Engineering, TensorFlow",High,35,55,Enterprise,Moderate,4.78,No,4.31,Growing
AIJ-101687,HR Specialist,Education,India,Master,3,0.55,0.52,No,204182,"AWS, Docker, Cloud Computing, SQL, Machine Learning",Low,26,35,Startup,Low,3.74,Yes,2.76,Stable
AIJ-101691,HR Specialist,Transportation,India,Bachelor,11,0.11,0.44,No,157607,"Communication, Cloud Computing, SQL, TensorFlow, Excel",High,-1,33,Startup,Low,4.55,Yes,3.02,Growing
AIJ-101692,Business Analyst,Media,India,High School,3,0.58,0.49,Yes,114137,"Cloud Computing, Prompt Engineering, Cybersecurity, TensorFlow, PyTorch, Leadership",Medium,35,45,Startup,Low,2.9,No,2.58,Growing
AIJ-101698,Product Manager,Healthcare,India,High School,9,0.56,0.92,Yes,100866,"Cloud Computing, Project Management, Data Visualization",Low,3,56,Enterprise,Moderate,4.08,No,4.61,Growing
AIJ-101709,UX Designer,Manufacturing,India,Bachelor,5,0.6,0.85,No,174820,"Leadership, Excel, Machine Learning",High,11,40,Startup,Low,4.45,Yes,3.83,Growing
AIJ-101735,UX Designer,Retail,India,PhD,8,0.68,0.59,Hybrid,156464,"Excel, Data Visualization, Communication, Kubernetes",Low,-8,39,Medium,Moderate,4.42,Yes,2.74,Stable
AIJ-101773,Robotics Engineer,Healthcare,India,Bachelor,1,0.9,0.67,Yes,168163,"SQL, AWS, Leadership, Data Visualization",Medium,23,39,Startup,Moderate,2.15,No,2.48,Growing
AIJ-101788,Prompt Engineer,Government,India,Bachelor,13,0.32,0.54,Hybrid,132795,"Python, SQL, Azure, Communication, Machine Learning, Cybersecurity",Low,33,60,Enterprise,High,2.93,No,3.02,Growing
AIJ-101799,Business Analyst,Finance,India,High School,17,0.39,0.67,Yes,216171,"TensorFlow, Python, Docker",Low,33,53,Medium,Low,4.13,No,1.64,Declining
AIJ-101807,Teacher,Technology,India,Master,17,0.28,0.24,Hybrid,203079,"Prompt Engineering, Machine Learning, Data Visualization, Azure, TensorFlow, PyTorch",Low,5,47,Enterprise,High,2.36,Yes,4.66,Declining
AIJ-101815,UX Designer,Government,India,Master,18,0.13,0.28,No,119006,"Prompt Engineering, Communication, Project Management, Azure, Machine Learning",Medium,31,39,Startup,Low,3.9,No,1.72,Growing
AIJ-101842,AI Engineer,Healthcare,India,PhD,14,0.74,0.67,Yes,120872,"Machine Learning, Docker, AWS",High,29,51,Startup,Moderate,3.47,No,4.61,Growing
AIJ-101850,Prompt Engineer,Government,India,Bachelor,24,0.71,0.59,Hybrid,127966,"Prompt Engineering, Excel, PyTorch, Deep Learning, Cloud Computing, Leadership",High,9,55,Startup,Low,4.4,Yes,4.35,Growing
AIJ-101879,Data Engineer,Manufacturing,India,PhD,17,0.62,0.22,No,209445,"AWS, PyTorch, Data Visualization, Azure, Cloud Computing",High,1,43,Enterprise,Low,3.71,Yes,4.67,Growing
AIJ-101883,Healthcare Analyst,Energy,India,Bachelor,9,0.82,0.52,No,170573,"Docker, PyTorch, Data Visualization",Medium,-7,51,Enterprise,High,4.47,Yes,1.84,Growing
AIJ-101887,Data Scientist,Media,India,PhD,2,0.12,0.86,Yes,196161,"TensorFlow, Cybersecurity, Data Visualization, Azure, Project Management, AWS",Medium,36,54,Medium,High,2.13,Yes,1.73,Stable
AIJ-101902,Blockchain Developer,Technology,India,High School,18,0.23,0.89,No,147841,"Project Management, Azure, Leadership, Cybersecurity, Excel, Deep Learning",Medium,24,32,Enterprise,Moderate,3.09,No,4.91,Stable
AIJ-101925,DevOps Engineer,Government,India,PhD,0,0.95,0.28,Yes,213934,"Data Visualization, Cloud Computing, Deep Learning",High,-6,35,Medium,Moderate,4.89,No,4.1,Declining
AIJ-101935,Digital Marketer,Education,India,Bachelor,4,0.76,0.79,No,198912,"Python, Machine Learning, Azure, Deep Learning, Excel, AWS",Low,27,37,Enterprise,Low,2.4,Yes,2.44,Stable
AIJ-101949,Healthcare Analyst,Energy,India,Master,7,0.57,0.34,Hybrid,145709,"TensorFlow, Deep Learning, Cloud Computing, Kubernetes",Low,27,40,Startup,High,3.82,No,2.57,Stable
AIJ-101953,Business Analyst,Transportation,India,PhD,0,0.93,0.51,Yes,179927,"Deep Learning, Prompt Engineering, Cloud Computing, AWS",Low,5,43,Enterprise,High,2.86,No,3.0,Declining
AIJ-101960,IoT Specialist,Education,India,Master,1,0.25,0.43,No,174025,"Excel, Python, Data Visualization",Low,-3,49,Medium,Low,2.96,Yes,2.01,Declining
AIJ-101962,Product Manager,Transportation,India,Master,20,0.45,0.62,No,121769,"Deep Learning, TensorFlow, PyTorch, Data Visualization, Cloud Computing, Project Management",Medium,-3,37,Startup,High,3.84,No,4.84,Stable
AIJ-101963,IoT Specialist,Transportation,India,Bachelor,14,0.21,0.58,Hybrid,155166,"Machine Learning, PyTorch, Deep Learning, Docker, Project Management, Data Visualization",Low,-5,34,Startup,High,2.82,No,2.78,Stable
AIJ-101970,Blockchain Developer,Finance,India,Master,17,0.45,0.36,Yes,174479,"PyTorch, AWS, Cloud Computing, SQL, Deep Learning",High,27,55,Enterprise,Moderate,4.01,No,1.03,Stable
AIJ-101980,Machine Learning Engineer,Retail,India,PhD,12,0.26,0.25,Hybrid,107800,"AWS, SQL, Deep Learning",Low,32,49,Startup,Low,4.19,No,2.43,Growing
AIJ-101999,Robotics Engineer,Transportation,India,Master,20,0.48,0.7,No,200910,"TensorFlow, Data Visualization, Kubernetes, AWS, Python",High,23,52,Enterprise,High,3.85,Yes,1.92,Stable
AIJ-102014,DevOps Engineer,Finance,India,Bachelor,4,0.34,0.43,Yes,133744,"Cloud Computing, Communication, AWS",Low,31,43,Medium,Low,4.23,Yes,2.69,Growing
AIJ-102027,UX Designer,Media,India,High School,5,0.21,0.41,Yes,181197,"Leadership, Prompt Engineering, Excel, TensorFlow, Kubernetes, Python",Low,42,53,Startup,Low,2.68,Yes,4.63,Growing
AIJ-102040,DevOps Engineer,Manufacturing,India,Master,0,0.56,0.87,Yes,101242,"TensorFlow, AWS, Python",Low,-8,58,Medium,Low,2.07,No,2.02,Stable
AIJ-102051,Business Analyst,Transportation,India,Master,23,0.34,0.49,Hybrid,195132,"Project Management, SQL, Leadership, Deep Learning, TensorFlow",Medium,12,40,Enterprise,Moderate,4.13,No,2.56,Growing
AIJ-102062,Cybersecurity Analyst,Technology,India,High School,14,0.76,0.5,No,191631,"Data Visualization, Docker, AWS, Deep Learning, Cybersecurity, Azure",High,45,57,Startup,High,3.13,No,2.25,Growing
AIJ-102072,Software Developer,Government,India,Bachelor,23,0.13,0.44,No,103136,"Communication, Kubernetes, Project Management",Medium,40,50,Startup,High,3.62,No,4.39,Declining
AIJ-102094,Data Engineer,Finance,India,PhD,15,0.46,0.27,Yes,182250,"Prompt Engineering, Kubernetes, SQL, Project Management",High,33,44,Medium,Low,3.57,No,1.55,Declining
AIJ-102107,HR Specialist,Manufacturing,India,Master,9,0.59,0.54,Hybrid,123223,"Machine Learning, Python, SQL",Low,-8,31,Startup,Moderate,4.66,No,4.42,Declining
AIJ-102138,Data Scientist,Technology,India,PhD,19,0.69,0.5,Yes,182099,"Excel, Cloud Computing, Machine Learning",Medium,17,53,Medium,Moderate,3.8,Yes,4.08,Growing
AIJ-102141,Data Engineer,Finance,India,High School,8,0.72,0.79,Hybrid,120345,"Kubernetes, Python, Leadership",High,20,45,Enterprise,High,3.77,No,3.81,Declining
AIJ-102146,Digital Marketer,Finance,India,Bachelor,8,0.78,0.32,Hybrid,218053,"Azure, Leadership, Data Visualization",Low,-4,53,Startup,High,3.05,No,4.17,Stable
AIJ-102174,Cybersecurity Analyst,Education,India,High School,14,0.34,0.92,No,203209,"Data Visualization, Excel, Kubernetes, AWS",Low,1,47,Startup,High,3.04,Yes,2.97,Stable
AIJ-102186,Financial Analyst,Energy,India,PhD,6,0.33,0.42,Yes,114835,"Azure, AWS, Deep Learning, Excel, Data Visualization",High,-4,54,Medium,High,3.6,Yes,2.62,Declining
AIJ-102218,Data Scientist,Government,India,PhD,12,0.79,0.61,No,109471,"PyTorch, Cybersecurity, Project Management, Leadership",Medium,26,45,Medium,Low,4.33,Yes,2.58,Stable
AIJ-102233,Software Developer,Technology,India,PhD,25,0.08,0.47,Hybrid,203804,"Kubernetes, SQL, Cybersecurity",Low,19,39,Startup,High,2.06,No,4.3,Growing
AIJ-102255,Software Developer,Media,India,Master,8,0.14,0.49,Hybrid,202241,"Data Visualization, Machine Learning, AWS, Kubernetes, SQL, Deep Learning",Medium,-9,52,Enterprise,Moderate,2.02,Yes,2.42,Stable
AIJ-102271,Blockchain Developer,Finance,India,Master,24,0.15,0.75,No,133060,"Python, Cybersecurity, Excel",Low,29,60,Medium,Moderate,4.07,Yes,4.35,Growing
AIJ-102278,Blockchain Developer,Transportation,India,Bachelor,12,0.82,0.76,Yes,128940,"Machine Learning, Docker, Python",Medium,24,49,Startup,High,3.56,Yes,2.75,Stable
AIJ-102297,Software Developer,Healthcare,India,PhD,5,0.21,0.44,Hybrid,161714,"Azure, Kubernetes, Prompt Engineering, Communication, Excel, PyTorch",Low,0,35,Startup,High,4.56,Yes,3.09,Declining
AIJ-102314,Healthcare Analyst,Finance,India,High School,17,0.71,0.63,Hybrid,110263,"Python, Azure, Cybersecurity, Data Visualization",Medium,36,55,Startup,High,3.83,Yes,2.27,Declining
AIJ-102324,IoT Specialist,Media,India,High School,7,0.6,0.62,Yes,138280,"Docker, Cloud Computing, Project Management",Low,18,44,Medium,High,4.5,Yes,4.9,Stable
